Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_22_121,VPWR,li1,61.4100,73.4400,1.799999
FILLER_22_111,VPWR,li1,56.8100,73.4400,1.799999
FILLER_22_96,VPWR,li1,49.9100,73.4400,1.799999
FILLER_22_93,VPWR,li1,48.9900,73.4400,1.799999
FILLER_22_83,VPWR,li1,43.9300,73.4400,1.799999
FILLER_22_55,VPWR,li1,31.0500,73.4400,1.799999
FILLER_22_44,VPWR,li1,26.4500,73.4400,1.799999
FILLER_22_41,VPWR,li1,25.0700,73.4400,1.799999
FILLER_22_38,VPWR,li1,23.6900,73.4400,1.799999
FILLER_22_35,VPWR,li1,22.3100,73.4400,1.799999
FILLER_22_32,VPWR,li1,20.9300,73.4400,1.799999
FILLER_22_29,VPWR,li1,19.5500,73.4400,1.799999
FILLER_22_27,VPWR,li1,18.1700,73.4400,1.799999
FILLER_22_24,VPWR,li1,17.2500,73.4400,1.799999
FILLER_22_21,VPWR,li1,15.8700,73.4400,1.799999
FILLER_21_116,VPWR,li1,59.5700,68.0000,1.799960
FILLER_21_113,VPWR,li1,58.1900,68.0000,1.799960
FILLER_21_95,VPWR,li1,49.6800,68.0000,1.799963
FILLER_21_92,VPWR,li1,48.5300,68.0000,1.799963
FILLER_21_83,VPWR,li1,44.1600,68.0000,1.799966
FILLER_21_73,VPWR,li1,39.5600,68.0000,1.799968
FILLER_21_57,VPWR,li1,31.9700,68.0000,1.799975
FILLER_21_53,VPWR,li1,30.5900,68.0000,1.799975
FILLER_21_24,VPWR,li1,16.7900,68.0000,1.799986
FILLER_21_21,VPWR,li1,15.8700,68.0000,1.799986
FILLER_21_18,VPWR,li1,14.4900,68.0000,1.799986
FILLER_21_15,VPWR,li1,13.1100,68.0000,1.799986
FILLER_20_122,VPWR,li1,62.3300,68.0000,1.799960
FILLER_20_85,VPWR,li1,45.3100,68.0000,1.799966
FILLER_20_81,VPWR,li1,43.4700,68.0000,1.799967
FILLER_20_78,VPWR,li1,42.0900,68.0000,1.799967
FILLER_20_58,VPWR,li1,32.8900,68.0000,1.799973
FILLER_20_55,VPWR,li1,31.5100,68.0000,1.799975
FILLER_20_29,VPWR,li1,19.5500,68.0000,1.799986
FILLER_20_27,VPWR,li1,18.1700,68.0000,1.799986
FILLER_20_24,VPWR,li1,17.2500,68.0000,1.799986
FILLER_20_21,VPWR,li1,15.8700,68.0000,1.799986
FILLER_20_18,VPWR,li1,14.4900,68.0000,1.799986
FILLER_20_15,VPWR,li1,13.1100,68.0000,1.799986
FILLER_20_12,VPWR,li1,11.7300,68.0000,1.799986
FILLER_19_125,VPWR,li1,63.7100,62.5600,1.799986
FILLER_19_122,VPWR,li1,62.3300,62.5600,1.799986
FILLER_19_113,VPWR,li1,57.7300,62.5600,1.799986
FILLER_19_109,VPWR,li1,56.3500,62.5600,1.799986
FILLER_19_100,VPWR,li1,51.9800,62.5600,1.799986
FILLER_19_97,VPWR,li1,50.8300,62.5600,1.799986
FILLER_19_87,VPWR,li1,46.0000,62.5600,1.799986
FILLER_19_84,VPWR,li1,44.8500,62.5600,1.799986
FILLER_19_57,VPWR,li1,32.2000,62.5600,1.799987
FILLER_19_30,VPWR,li1,19.5500,62.5600,1.799992
FILLER_19_27,VPWR,li1,18.6300,62.5600,1.799992
FILLER_19_24,VPWR,li1,17.2500,62.5600,1.799991
FILLER_19_21,VPWR,li1,15.8700,62.5600,1.799991
FILLER_19_18,VPWR,li1,14.4900,62.5600,1.799991
FILLER_19_15,VPWR,li1,13.1100,62.5600,1.799991
FILLER_19_12,VPWR,li1,11.7300,62.5600,1.799991
FILLER_19_9,VPWR,li1,10.3500,62.5600,1.799991
FILLER_18_126,VPWR,li1,63.9400,62.5600,1.799986
FILLER_18_123,VPWR,li1,62.7900,62.5600,1.799986
FILLER_18_120,VPWR,li1,61.4100,62.5600,1.799986
FILLER_18_117,VPWR,li1,60.0300,62.5600,1.799986
FILLER_18_114,VPWR,li1,58.6500,62.5600,1.799986
FILLER_18_111,VPWR,li1,57.2700,62.5600,1.799986
FILLER_18_108,VPWR,li1,55.8900,62.5600,1.799986
FILLER_18_105,VPWR,li1,54.5100,62.5600,1.799986
FILLER_18_102,VPWR,li1,53.1300,62.5600,1.799986
FILLER_18_99,VPWR,li1,51.7500,62.5600,1.799986
FILLER_18_96,VPWR,li1,50.3700,62.5600,1.799986
FILLER_18_85,VPWR,li1,45.3100,62.5600,1.799986
FILLER_18_76,VPWR,li1,40.9400,62.5600,1.799986
FILLER_18_73,VPWR,li1,39.7900,62.5600,1.799986
FILLER_18_70,VPWR,li1,38.4100,62.5600,1.799986
FILLER_18_60,VPWR,li1,33.5800,62.5600,1.799986
FILLER_18_27,VPWR,li1,18.1700,62.5600,1.799992
FILLER_18_18,VPWR,li1,14.0300,62.5600,1.799991
FILLER_18_15,VPWR,li1,13.1100,62.5600,1.799991
FILLER_18_12,VPWR,li1,11.7300,62.5600,1.799991
FILLER_18_9,VPWR,li1,10.3500,62.5600,1.799991
FILLER_17_122,VPWR,li1,61.8700,57.1200,1.799890
FILLER_17_119,VPWR,li1,60.9500,57.1200,1.799890
FILLER_17_116,VPWR,li1,59.5700,57.1200,1.799890
FILLER_17_113,VPWR,li1,58.1900,57.1200,1.799890
FILLER_17_109,VPWR,li1,56.3500,57.1200,1.799890
FILLER_17_106,VPWR,li1,54.9700,57.1200,1.799890
FILLER_17_103,VPWR,li1,53.5900,57.1200,1.799890
FILLER_17_100,VPWR,li1,52.2100,57.1200,1.799890
FILLER_17_97,VPWR,li1,50.8300,57.1200,1.799890
FILLER_17_94,VPWR,li1,49.4500,57.1200,1.799895
FILLER_17_91,VPWR,li1,48.0700,57.1200,1.799895
FILLER_17_88,VPWR,li1,46.6900,57.1200,1.799900
FILLER_17_85,VPWR,li1,45.3100,57.1200,1.799900
FILLER_17_82,VPWR,li1,43.9300,57.1200,1.799904
FILLER_17_74,VPWR,li1,40.0200,57.1200,1.799912
FILLER_17_71,VPWR,li1,38.8700,57.1200,1.799912
FILLER_17_63,VPWR,li1,34.7300,57.1200,1.799921
FILLER_17_11,VPWR,li1,10.8100,57.1200,1.799953
FILLER_16_122,VPWR,li1,61.8700,57.1200,1.799890
FILLER_16_119,VPWR,li1,60.9500,57.1200,1.799890
FILLER_16_111,VPWR,li1,56.8100,57.1200,1.799890
FILLER_16_108,VPWR,li1,55.8900,57.1200,1.799890
FILLER_16_85,VPWR,li1,45.3100,57.1200,1.799900
FILLER_16_76,VPWR,li1,40.9400,57.1200,1.799908
FILLER_16_65,VPWR,li1,36.1100,57.1200,1.799917
FILLER_16_57,VPWR,li1,31.9700,57.1200,1.799925
FILLER_16_54,VPWR,li1,31.0500,57.1200,1.799928
FILLER_16_51,VPWR,li1,29.6700,57.1200,1.799928
FILLER_16_32,VPWR,li1,20.7000,57.1200,1.799956
FILLER_16_29,VPWR,li1,19.5500,57.1200,1.799955
FILLER_16_26,VPWR,li1,17.9400,57.1200,1.799955
FILLER_16_11,VPWR,li1,11.0400,57.1200,1.799953
FILLER_15_133,VPWR,li1,66.9300,51.6800,1.799965
FILLER_15_130,VPWR,li1,66.0100,51.6800,1.799965
FILLER_15_106,VPWR,li1,54.5100,51.6800,1.799967
FILLER_15_103,VPWR,li1,53.5900,51.6800,1.799968
FILLER_15_100,VPWR,li1,52.2100,51.6800,1.799968
FILLER_15_97,VPWR,li1,50.8300,51.6800,1.799969
FILLER_15_94,VPWR,li1,49.4500,51.6800,1.799969
FILLER_15_77,VPWR,li1,41.4000,51.6800,1.799973
FILLER_15_74,VPWR,li1,40.2500,51.6800,1.799975
FILLER_15_54,VPWR,li1,30.8200,51.6800,1.799982
FILLER_15_51,VPWR,li1,29.6700,51.6800,1.799982
FILLER_15_48,VPWR,li1,28.2900,51.6800,1.799984
FILLER_15_45,VPWR,li1,26.9100,51.6800,1.799984
FILLER_15_42,VPWR,li1,25.5300,51.6800,1.799986
FILLER_15_31,VPWR,li1,20.4700,51.6800,1.799990
FILLER_15_28,VPWR,li1,19.0900,51.6800,1.799990
FILLER_15_25,VPWR,li1,17.7100,51.6800,1.799990
FILLER_14_133,VPWR,li1,66.9300,51.6800,1.799965
FILLER_14_130,VPWR,li1,66.0100,51.6800,1.799965
FILLER_14_121,VPWR,li1,61.4100,51.6800,1.799965
FILLER_14_112,VPWR,li1,57.2700,51.6800,1.799967
FILLER_14_109,VPWR,li1,56.3500,51.6800,1.799967
FILLER_14_106,VPWR,li1,54.9700,51.6800,1.799967
FILLER_14_103,VPWR,li1,53.5900,51.6800,1.799968
FILLER_14_100,VPWR,li1,52.2100,51.6800,1.799968
FILLER_14_97,VPWR,li1,50.8300,51.6800,1.799969
FILLER_14_94,VPWR,li1,49.4500,51.6800,1.799969
FILLER_14_85,VPWR,li1,45.3100,51.6800,1.799971
FILLER_14_83,VPWR,li1,43.9300,51.6800,1.799972
FILLER_14_74,VPWR,li1,39.7900,51.6800,1.799975
FILLER_14_71,VPWR,li1,38.8700,51.6800,1.799975
FILLER_14_68,VPWR,li1,37.4900,51.6800,1.799976
FILLER_14_59,VPWR,li1,33.1200,51.6800,1.799980
FILLER_14_56,VPWR,li1,31.9700,51.6800,1.799980
FILLER_14_53,VPWR,li1,30.5900,51.6800,1.799982
FILLER_14_50,VPWR,li1,29.2100,51.6800,1.799982
FILLER_14_47,VPWR,li1,27.8300,51.6800,1.799984
FILLER_14_44,VPWR,li1,26.4500,51.6800,1.799986
FILLER_14_41,VPWR,li1,25.0700,51.6800,1.799986
FILLER_14_38,VPWR,li1,23.6900,51.6800,1.799988
FILLER_14_35,VPWR,li1,22.3100,51.6800,1.799988
FILLER_14_32,VPWR,li1,20.9300,51.6800,1.799990
FILLER_14_29,VPWR,li1,19.5500,51.6800,1.799990
FILLER_14_26,VPWR,li1,17.9400,51.6800,1.799990
FILLER_14_23,VPWR,li1,16.7900,51.6800,1.799990
FILLER_14_6,VPWR,li1,8.7400,51.6800,1.799989
FILLER_14_3,VPWR,li1,7.5900,51.6800,1.799989
FILLER_13_116,VPWR,li1,59.1100,46.2400,1.799971
FILLER_13_113,VPWR,li1,58.1900,46.2400,1.799972
FILLER_13_103,VPWR,li1,53.3600,46.2400,1.799973
FILLER_13_100,VPWR,li1,52.2100,46.2400,1.799973
FILLER_13_97,VPWR,li1,50.8300,46.2400,1.799974
FILLER_13_94,VPWR,li1,49.4500,46.2400,1.799974
FILLER_13_69,VPWR,li1,37.4900,46.2400,1.799980
FILLER_13_66,VPWR,li1,36.5700,46.2400,1.799980
FILLER_13_63,VPWR,li1,35.1900,46.2400,1.799982
FILLER_13_60,VPWR,li1,33.8100,46.2400,1.799983
FILLER_13_57,VPWR,li1,32.4300,46.2400,1.799983
FILLER_13_55,VPWR,li1,31.0500,46.2400,1.799984
FILLER_13_52,VPWR,li1,30.1300,46.2400,1.799984
FILLER_13_49,VPWR,li1,28.7500,46.2400,1.799986
FILLER_13_46,VPWR,li1,27.3700,46.2400,1.799986
